La pequeña comedia;Description unavailable;https://www.imdb.com/title/tt0449750/;['Comedy', 'Drama'];No Rating;Total Rating Count N/A;1966-02-12;
Palabra por palabra;Description unavailable;https://www.imdb.com/title/tt0449749/;Talk-Show;No Rating;Total Rating Count N/A;2005-03-08;
La Olimpiada del saber;Description unavailable;https://www.imdb.com/title/tt0449748/;['Game-Show', 'Sport'];No Rating;Total Rating Count N/A;Unknown;
Ngan sik lui to;Description unavailable;https://www.imdb.com/title/tt0449747/;Drama;No Rating;Total Rating Count N/A;Unknown;
Ng ye tai yong;Description unavailable;https://www.imdb.com/title/tt0449746/;Drama;No Rating;Total Rating Count N/A;1990-06-25;
Ne seninle ne sensiz;Description unavailable;https://www.imdb.com/title/tt0449745/;Genre Unknown;6.9;8;Unknown;
Na Noite do Passado;Description unavailable;https://www.imdb.com/title/tt0449744/;Drama;No Rating;Total Rating Count N/A;Unknown;
A Mão de Deus;Description unavailable;https://www.imdb.com/title/tt0449743/;Drama;No Rating;Total Rating Count N/A;1955-02-01;
My Darling;Description unavailable;https://www.imdb.com/title/tt0449742/;Romance;No Rating;Total Rating Count N/A;1957-05-16;
Kizma birader;Description unavailable;https://www.imdb.com/title/tt0449730/;Comedy;4.3;11;Unknown;
KidsCetera;Description unavailable;https://www.imdb.com/title/tt0449729/;Family;No Rating;Total Rating Count N/A;Unknown;
Kaleiçi;Description unavailable;https://www.imdb.com/title/tt0449728/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
José do Egito;Description unavailable;https://www.imdb.com/title/tt0449727/;Adventure;No Rating;Total Rating Count N/A;Unknown;
Joi geen sup gao sui;Description unavailable;https://www.imdb.com/title/tt0449726/;Drama;7.7;14;1983-05-16;
Jiu gao man ng;Description unavailable;https://www.imdb.com/title/tt0449725/;Drama;No Rating;Total Rating Count N/A;Unknown;
Infarto;Description unavailable;https://www.imdb.com/title/tt0449724/;['Comedy', 'Horror', 'Reality-TV', 'Sci-Fi'];6.6;8;Unknown;
Iki arada ask;Description unavailable;https://www.imdb.com/title/tt0449723/;Comedy;5.0;17;Unknown;
Hong Kong wun hei see;Description unavailable;https://www.imdb.com/title/tt0449722/;Drama;No Rating;Total Rating Count N/A;1989-11-20;
Haikara-san ga tôru;Haikara-san ga tôru is a TV series starring Katsuji Mori. Set in the 1920s, Haikara-san ga Tooru is the story of the high-spirited tomboy Benio and her relationship with a handsome half-German soldier named Shinobu.;https://www.imdb.com/title/tt0449721/;['Animation', 'Drama', 'Romance'];7.4;21;1978-06-03;
Mulherzinhas;Mulherzinhas is a TV series starring Egídio Eccio, Miriam Mehler, and Myriam Pérsia. Louisa May Alcott's autobiographical account of her life with her three sisters in Concord, Massachusetts in the 1860s. With their father fighting...;https://www.imdb.com/title/tt0449739/;Romance;No Rating;Total Rating Count N/A;1959-02-16;
A Moreninha;Description unavailable;https://www.imdb.com/title/tt0449738/;Romance;No Rating;Total Rating Count N/A;1959-04-26;
Mecanoscrit del segon origen;Description unavailable;https://www.imdb.com/title/tt0449737/;Sci-Fi;5.4;15;1985-12-29;
May bukas pa;Description unavailable;https://www.imdb.com/title/tt0449736/;Drama;No Rating;Total Rating Count N/A;Unknown;
Luk ji kum mo;Description unavailable;https://www.imdb.com/title/tt0449735/;Drama;No Rating;Total Rating Count N/A;1985-12-09;
Luk ding gei;Luk ding gei is a TV series starring Ga Yee Chan, Yau-Hau Chan, and Ying Choi Cheung. It is the early years of the Manchu (Qing) empire and the new Emperor (Andy Lau) needs all the help he can get from Tony Leung. Tony plays a...;https://www.imdb.com/title/tt0449734/;['Action', 'Comedy', 'Drama'];7.9;128;Unknown;
Legionário Invencível;Description unavailable;https://www.imdb.com/title/tt0449733/;Adventure;No Rating;Total Rating Count N/A;1955-06-29;
The Kris Aquino Show;Description unavailable;https://www.imdb.com/title/tt0449732/;Talk-Show;No Rating;Total Rating Count N/A;Unknown;
Kris & Tell;Description unavailable;https://www.imdb.com/title/tt0449731/;Talk-Show;No Rating;Total Rating Count N/A;Unknown;
Gyldne timer;Gyldne timer is a TV series starring Tina Wilhelmsen. Tina Wilhelmsen presents memorable classics from Danmark Radio's huge archives.;https://www.imdb.com/title/tt0449720/;History;No Rating;Total Rating Count N/A;2000-01-03;
Gung see sam mun ji;Description unavailable;https://www.imdb.com/title/tt0449719/;Drama;No Rating;Total Rating Count N/A;Unknown;
Gu mou;Description unavailable;https://www.imdb.com/title/tt0449718/;Drama;No Rating;Total Rating Count N/A;1985-02-25;
A Grande Mentira;Description unavailable;https://www.imdb.com/title/tt0449717/;Drama;No Rating;Total Rating Count N/A;Unknown;
Fu guai lau mun;Description unavailable;https://www.imdb.com/title/tt0449716/;Drama;No Rating;Total Rating Count N/A;Unknown;
Fim de Semana no Campo;Description unavailable;https://www.imdb.com/title/tt0449715/;Drama;No Rating;Total Rating Count N/A;Unknown;
Famous Last Words;Description unavailable;https://www.imdb.com/title/tt0449714/;['Documentary', 'Music'];8.2;5;Unknown;
O Falcão Negro;Description unavailable;https://www.imdb.com/title/tt0449713/;Adventure;No Rating;Total Rating Count N/A;1954-02-05;
Eto na ang susunod na kabanata;Description unavailable;https://www.imdb.com/title/tt0449712/;Comedy;No Rating;Total Rating Count N/A;Unknown;
Estrellas;Description unavailable;https://www.imdb.com/title/tt0449711/;['Musical', 'Comedy'];No Rating;Total Rating Count N/A;Unknown;
Encruzilhada;Description unavailable;https://www.imdb.com/title/tt0449710/;Drama;No Rating;Total Rating Count N/A;1954-01-06;
Ellen Express;Description unavailable;https://www.imdb.com/title/tt0449709/;Documentary;No Rating;Total Rating Count N/A;2005-01-23;
Douglas Red;Description unavailable;https://www.imdb.com/title/tt0449708/;Adventure;No Rating;Total Rating Count N/A;Unknown;
Doce Lar Teperman;Description unavailable;https://www.imdb.com/title/tt0449707/;Comedy;No Rating;Total Rating Count N/A;1959-01-10;
Descontrol;Descontrol is a TV series starring Laura Torres, Circe Luna, and Gerardo Reyero. The first animated serie of Mexico. Is a half-hour animated sketch-comedy show that make fun of famous characters of the mexican pop culture.;https://www.imdb.com/title/tt0449706/;['Animation', 'Comedy'];7.2;12;Unknown;
Desce o Pano;Description unavailable;https://www.imdb.com/title/tt0449705/;Drama;No Rating;Total Rating Count N/A;1957-11-19;
Dat mo cyun;Description unavailable;https://www.imdb.com/title/tt0449704/;Drama;No Rating;Total Rating Count N/A;1986-12-31;
Danzas de España;Description unavailable;https://www.imdb.com/title/tt0449703/;Musical;No Rating;Total Rating Count N/A;Unknown;
Dai tong meng bou;Description unavailable;https://www.imdb.com/title/tt0449702/;Drama;No Rating;Total Rating Count N/A;1990-12-24;
Dai dei fei yeng;Description unavailable;https://www.imdb.com/title/tt0449701/;Drama;8.5;12;Unknown;
Zeytin dali;Description unavailable;https://www.imdb.com/title/tt0449777/;Drama;6.8;40;Unknown;
Yao see yuen gar yao jui tao;Description unavailable;https://www.imdb.com/title/tt0449776/;Drama;No Rating;Total Rating Count N/A;1990-10-01;
Wut lik sap jat;Description unavailable;https://www.imdb.com/title/tt0449775/;Drama;7.8;12;1982-07-04;
A Vida com Eliane;Description unavailable;https://www.imdb.com/title/tt0449774/;Comedy;No Rating;Total Rating Count N/A;1957-05-24;
Vestidos da Minha Vida;Description unavailable;https://www.imdb.com/title/tt0449773/;Romance;No Rating;Total Rating Count N/A;1952-11-18;
Valiente;Description unavailable;https://www.imdb.com/title/tt0449772/;['Action', 'Crime', 'Drama', 'Thriller'];No Rating;Total Rating Count N/A;Unknown;
Urgente (Um Namorado Para Sheila);Description unavailable;https://www.imdb.com/title/tt0449769/;Romance;No Rating;Total Rating Count N/A;1959-04-06;
Uma História de Ballet;Description unavailable;https://www.imdb.com/title/tt0449768/;Romance;No Rating;Total Rating Count N/A;1956-09-19;
El ultimo caso del detective Prado;El ultimo caso del detective Prado is a TV mini-series starring Rosabel del Valle, Lucy Fabery, and Lily García. Puerto Rico tv series about a cop that investigate different scenarios of criminal delinquency, murders and corruption.;https://www.imdb.com/title/tt0449767/;Genre Unknown;No Rating;Total Rating Count N/A;2005-02-22;
This Is Daniel Cook;This Is Daniel Cook is a TV series starring Daniel Cook, Shamez Amlani, and Robert Bateman. A young boy called Daniel Cook learns new things and shares his experiences and adventures with other kids.;https://www.imdb.com/title/tt0449766/;Family;4.8;110;2004-09-06;
Sétimo Céu;Description unavailable;https://www.imdb.com/title/tt0449765/;Romance;No Rating;Total Rating Count N/A;Unknown;
Sung meng chi loi;Description unavailable;https://www.imdb.com/title/tt0449764/;Drama;6.4;7;1987-08-27;
San jaat si hing;Description unavailable;https://www.imdb.com/title/tt0449763/;Action;8.1;37;1984-10-29;
Stærk tobak;Stærk tobak is a TV series starring Martin Brygmann, Casper Christensen, and Marie Frank. Informative documentary series about smoking and non-smoking seen through the eyes of Danish celebrities such as Casper Christensen, Annette...;https://www.imdb.com/title/tt0449762/;Documentary;No Rating;Total Rating Count N/A;Unknown;
