The Funny Company;The Funny Company is a TV series starring Dick Beals, John Hiestand, and Robie Lester. The educational adventures of a neighborhood kids club.;https://www.imdb.com/title/tt0299913/;['Animation', 'Short', 'Family'];7.5;30;Unknown;
7-es csatorna;7-es csatorna is a TV series starring Imre Bajor, Bernadett Gregor, and Sándor Sörös. This short lived soap about a suburban cable TV channel in Budapest, Hungary followed 'TV a város szélén' (a sitcom in 1998), with nearly the same...;https://www.imdb.com/title/tt0299829/;['Drama', 'Family', 'Comedy'];2.5;16;1999-04-12;
Willy Nilly;Willy Nilly is a TV series starring Sean Duffy, Mark Hadlow, and Katrina Hobbs. A light-hearted comedy about Eric and Harry, two brothers whose sheltered lives on a farm have revolved around their mother. Somewhat stuck in the...;https://www.imdb.com/title/tt0299826/;Comedy;No Rating;Total Rating Count N/A;2003-09-02;
La double vie de Théophraste Longuet;Description unavailable;https://www.imdb.com/title/tt0299793/;['Drama', 'Mystery'];No Rating;Total Rating Count N/A;1981-10-27;
Verkehrsgericht;Verkehrsgericht is a TV series starring Petra Schürmann, Ingrid Buck-Setter, and Axel Scholtz. Traffic court was a court broadcast that was broadcast between 1983 and 2001 as a television series on ZDF.;https://www.imdb.com/title/tt0299410/;Genre Unknown;No Rating;Total Rating Count N/A;1983-10-25;
Verdenskaberen;Description unavailable;https://www.imdb.com/title/tt0299409/;Genre Unknown;No Rating;Total Rating Count N/A;2001-11-01;
Unterwegs nach Atlantis;Description unavailable;https://www.imdb.com/title/tt0299408/;['Comedy', 'Family', 'Sci-Fi'];7.3;20;1982-09-18;
U beslist;Description unavailable;https://www.imdb.com/title/tt0299407/;['Drama', 'Family'];No Rating;Total Rating Count N/A;1996-02-16;
Tütün zamani;Description unavailable;https://www.imdb.com/title/tt0299406/;Drama;No Rating;Total Rating Count N/A;Unknown;
Truth or Scare;Truth or Scare is a TV series starring Michelle Trachtenberg and Tim MacDonald. A television series chronicling famous hauntings and legends from around the world, hosted and narrated by actress Michelle Trachtenberg.;https://www.imdb.com/title/tt0299405/;['Documentary', 'Horror'];8.5;122;2001-10-25;
Las tres caras de Malvina;Description unavailable;https://www.imdb.com/title/tt0299403/;Comedy;No Rating;Total Rating Count N/A;Unknown;
Tomorrow's World;Tomorrow's World is a TV series starring David Bull, Lindsey Fallow, and Liam Mayclem. Location segments from "Tomorrow's World" (1965) are edited to remove the original presenters and re-narrated.;https://www.imdb.com/title/tt0299402/;Documentary;6.7;11;Unknown;
Tik tak;Description unavailable;https://www.imdb.com/title/tt0299401/;Family;7.3;67;1981-11-01;
'Orrible;'Orrible is a TV mini-series starring Johnny Vaughan, Ricky Grover, and William Boyde. Paul Clark is a cab driver and wannabe small-time criminal, assisted by his best friend and partner in crime, Sean, whom amusingly misapprehends...;https://www.imdb.com/title/tt0299420/;['Comedy', 'Drama', 'Crime'];6.9;147;2001-08-10;
La única noche;Description unavailable;https://www.imdb.com/title/tt0299419/;['Crime', 'Romance'];No Rating;Total Rating Count N/A;Unknown;
